iter	Passed	Remaining
593	1122	767
594	1124	765
595	1125	763
596	1127	761
597	1130	759
598	1132	757
599	1134	756
600	1136	754
601	1138	752
602	1139	750
603	1141	748
604	1143	746
605	1145	744
606	1147	742
607	1149	740
608	1151	739
609	1152	737
610	1154	735
611	1156	733
612	1158	731
613	1159	729
614	1161	727
615	1163	725
616	1164	723
617	1166	721
618	1168	719
619	1169	716
620	1171	714
621	1172	712
622	1174	710
623	1175	708
624	1177	706
625	1178	704
626	1180	702
627	1181	699
628	1183	698
629	1185	696
630	1186	694
631	1188	692
632	1190	690
633	1191	688
634	1193	685
635	1194	683
636	1196	681
637	1198	679
638	1200	678
639	1201	675
640	1203	673
641	1204	671
642	1205	669
643	1207	667
644	1208	665
645	1210	663
646	1212	661
647	1214	659
648	1215	657
649	1217	655
650	1218	653
651	1220	651
652	1222	649
653	1224	647
654	1225	645
655	1227	643
656	1229	641
657	1230	639
658	1232	637
659	1233	635
660	1235	633
661	1237	631
662	1238	629
663	1240	627
664	1242	625
665	1244	624
666	1246	622
667	1247	620
668	1249	618
669	1251	616
670	1252	614
671	1254	612
672	1255	610
673	1257	608
674	1258	606
675	1260	604
676	1262	602
677	1263	600
678	1265	598
679	1267	596
680	1268	594
681	1270	592
682	1272	590
683	1273	588
684	1275	586
685	1277	584
686	1279	582
687	1281	581
688	1282	579
689	1284	577
690	1285	575
691	1287	572
692	1288	570
693	1290	568
694	1291	566
695	1293	564
696	1294	562
697	1296	560
698	1297	558
699	1299	557
700	1301	555
701	1303	553
702	1304	551
703	1306	549
704	1308	547
705	1309	545
706	1311	543
707	1312	541
708	1314	539
709	1316	537
710	1318	535
711	1319	533
712	1321	531
713	1322	529
714	1324	527
715	1326	526
716	1327	524
717	1329	522
718	1331	520
719	1333	518
720	1334	516
721	1336	514
722	1338	512
723	1339	510
724	1341	508
725	1342	506
726	1344	504
727	1346	503
728	1348	501
729	1349	499
730	1351	497
731	1353	495
732	1355	493
733	1356	491
734	1358	489
735	1360	488
736	1362	486
737	1363	484
738	1365	482
739	1367	480
740	1369	478
741	1370	476
742	1372	474
743	1374	472
744	1376	471
745	1378	469
746	1380	467
747	1382	465
748	1383	463
749	1385	461
750	1387	459
751	1389	458
752	1391	456
753	1393	454
754	1395	452
755	1396	450
756	1398	448
757	1399	446
758	1401	444
759	1402	443
760	1404	441
761	1406	439
762	1407	437
763	1409	435
764	1411	433
765	1413	431
766	1415	429
767	1417	428
768	1419	426
769	1420	424
770	1422	422
771	1424	420
772	1426	418
773	1428	417
774	1429	415
775	1431	413
776	1433	411
777	1435	409
778	1436	407
779	1438	405
780	1440	403
781	1442	402
782	1444	400
783	1446	398
784	1448	396
785	1450	394
786	1452	393
787	1454	391
788	1456	389
789	1459	387
790	1460	385
791	1462	384
792	1463	382
793	1465	380
794	1467	378
795	1469	376
796	1471	374
797	1472	372
798	1474	370
799	1478	369
800	1480	367
801	1482	366
802	1484	364
803	1485	362
804	1487	360
805	1489	358
806	1491	356
807	1492	354
808	1494	352
809	1495	350
810	1497	348
811	1499	347
812	1500	345
813	1502	343
814	1504	341
815	1507	339
816	1509	338
817	1510	336
818	1512	334
819	1514	332
820	1516	330
821	1517	328
822	1519	326
823	1520	324
824	1522	322
825	1524	321
826	1525	319
827	1527	317
828	1529	315
829	1530	313
830	1532	311
831	1534	309
832	1535	307
833	1538	306
834	1540	304
835	1542	302
836	1544	300
837	1546	299
838	1548	297
839	1550	295
840	1551	293
841	1553	291
842	1555	289
843	1556	287
844	1558	285
845	1559	283
846	1561	282
847	1563	280
848	1565	278
849	1567	276
850	1569	274
851	1571	272
852	1572	271
853	1574	269
854	1576	267
855	1577	265
856	1579	263
857	1581	261
858	1582	259
859	1584	257
860	1586	256
861	1587	254
862	1589	252
863	1591	250
864	1592	248
865	1594	246
866	1596	244
867	1598	243
868	1600	241
869	1602	239
870	1603	237
871	1605	235
872	1607	233
873	1609	231
874	1610	230
875	1612	228
876	1613	226
877	1615	224
878	1616	222
879	1618	220
880	1619	218
881	1621	216
882	1622	215
883	1624	213
884	1626	211
885	1627	209
886	1629	207
887	1631	205
888	1632	203
889	1635	202
890	1636	200
891	1638	198
892	1640	196
893	1644	194
894	1645	193
895	1647	191
896	1649	189
897	1650	187
898	1652	185
899	1654	183
900	1656	181
901	1657	180
902	1659	178
903	1660	176
904	1662	174
905	1664	172
906	1665	170
907	1667	168
908	1668	167
909	1670	165
910	1671	163
911	1672	161
912	1674	159
913	1675	157
914	1677	155
915	1679	153
916	1680	152
917	1682	150
918	1684	148
919	1685	146
920	1689	144
921	1690	143
922	1692	141
923	1693	139
924	1695	137
925	1697	135
926	1698	133
927	1700	131
928	1701	130
929	1703	128
930	1705	126
931	1707	124
932	1709	122
933	1711	120
934	1713	119
935	1715	117
936	1717	115
937	1719	113
938	1720	111
939	1722	109
940	1724	108
941	1726	106
942	1728	104
943	1729	102
944	1732	100
945	1734	99
946	1735	97
947	1737	95
948	1738	93
949	1741	91
950	1743	89
951	1745	87
952	1746	86
953	1748	84
954	1750	82
955	1752	80
956	1753	78
957	1755	76
958	1757	75
959	1758	73
960	1760	71
961	1761	69
962	1763	67
963	1765	65
964	1766	64
965	1768	62
966	1771	60
967	1773	58
968	1775	56
969	1776	54
970	1778	53
971	1780	51
972	1782	49
973	1783	47
974	1785	45
975	1787	43
976	1788	42
977	1790	40
978	1791	38
979	1793	36
980	1795	34
981	1796	32
982	1798	31
983	1800	29
984	1801	27
985	1803	25
986	1805	23
987	1807	21
988	1809	20
989	1810	18
990	1812	16
991	1814	14
992	1815	12
993	1817	10
994	1819	9
995	1820	7
996	1822	5
997	1824	3
998	1825	1
999	1828	0
